"Large","name(Large)","Medium","name(medium)","Small","name(small)","Fine","name(fine)","Applicable example"
"","","","","","","281-04","Trade clerk","Customs clerk, import / export clerk"
"","","","","","","281-05","Finance / insurance clerk","Loan investigation clerk, loan loan clerk, damage assessment clerk, insurance claim clerk, securities trading clerk, post office insurance counter clerk"
"","","","","289","Other sales / sales-related clerical occupations","289-99","Other sales / sales-related clerical occupations","Used car assessor, store patrol instructor, franchise chain supervisor, rounder, worker dispatch coordinator"
"","","29","Collector","291","Collector","291-01","Pick-up Guy","Payphone toll collector, automatic service machine collector, newspaper subscription toll collector, toll collector (electricity, gas, water)"
"","","","","292","Visiting investigator","291-02","Visiting investigator","Market researcher (visit survey), statistical researcher (visit survey)"
"","","","","299","Other outside office professions","299-01","Meter reader","Hot spring meter reader, gas meter reader, water meter reader, electric meter reader"
"","","","","","","299-99","Occupations of outside work that are not classified elsewhere","Traffic investigator, garage investigator"
"","","30","Occupation of transportation and postal affairs","301","Passenger / Cargo Clerk","301-01","Transportation Export ticket gate / passenger clerk","Station ticket gates, station staff, airline ticket sales staff (airline companies), airport passenger staff, seat reservation device operators (transportation, travel agencies), passenger information staff, railway passenger staff"
"","","","","","","301-02","Toll road toll collector","Toll clerk (toll road), toll collector (toll road, highway)"
"","","","","","","301-03","Cargo reception clerk","Freight clerk, air freight clerk, rail freight clerk"
"","","","","302","Operation management clerk","302-01","Railway operation management clerk","Vehicle management clerk, railway operation planning clerk, railway operation commander"
"","","","","","","302-02","Freight car operation management clerk","Freight operation manager, freight clerk, truck dispatcher"
"","","","","","","302-03","Passenger car operation management clerk","Taxi operation management clerk, taxi dispatch operator, hire management clerk, bus operation management"
"","","","","","","302-04","Ship operation management clerk","Shipping operation management clerk, ship allocation / operation planning clerk"
"","","","","","","302-05","Airline flight management clerk","Airline flight manager, aviation dispatcher"
"","","","","303","Post clerk","303-01","Post office clerk","Post office parcel clerk, post office post office clerk"
"","","","","","","303-02","Postal affairs clerk","Mail sorter, postal transfer staff, postal clerk"
"","","31","Occupation of office equipment operation","311","Personal computer operator","311-01","Personal computer operator","PC operator, PC operator"
"","","","","312","Data entry staff","312-01","Data entry staff","Key puncher, data entry clerk, data entry operator"
"","","","","313","Computer operator (excluding personal computers)","313-01","Computer operator (excluding personal computers)","Office computer operator, computer operator, general-purpose machine operator, mainframe operator"
"","","","","319","Other office equipment operation occupations","319-99","Other office equipment operation occupations","OCR (Optical Character Recognition) operator, electronic copier operator"
"D","Sales profession","32","Product sales profession","321","Retail store owner / manager","321-01","Convenience store manager","Convenience store manager (mainly engaged in sales work)"
"","","","","","","321-02","Gas station manager","Gas station manager (mainly engaged in sales work)"
"","","","","","","321-99","Retail store owners and store managers that are not classified elsewhere","Consumer electronics retail store manager (mainly engaged in sales work), retail store owner (mainly engaged in sales work), drugstore manager (non-pharmaceutical: mainly engaged in sales work), home improvement store Store manager (mainly engaged in sales work), clothing retail store manager (mainly engaged in sales work)"
"","","","","322","Wholesale store owner / manager","322-01","Wholesale store owner / manager","Food and beverage wholesale store owners (mainly engaged in sales work), wholesale store managers (mainly engaged in sales work), building material wholesale store owners (mainly engaged in sales work), feed and fertilizer Wholesale shop owner (mainly engaged in sales work)"
"","","","","323","Retailer salesperson","323-01","Cashier","Cashier, cashier checker, register clerk"
"","","","","","","323-02","Department store / supermarket sales clerk","Supermarket clerk, supermarket sales clerk, department store clerk, department store sales clerk"
"","","","","","","323-03","Convenience store clerk","Convenience store clerk"
"","","","","","","323-04","Clothes / personal items sales clerk","Bag sales clerk, shoes sales clerk, children's clothing sales clerk, shoe fitter, bedding sales clerk, men's clothing sales clerk, women's clothing sales clerk, thrift shop sales clerk (used clothes)"
"","","","","","","323-05","Food and beverage sales clerk","Confectionery / bread sales clerk, coffee shop clerk, grocery sales clerk, hamburger shop clerk, bakery shop clerk"
"","","","","","","323-06","Car dealer","Used car salesperson"
"","","","","","","323-07","Electrical equipment sales clerk","Home appliance mass retailer salesperson, used electrical product salesperson, electric appliance salesperson"
"","","","","","","323-08","Pharmaceutical / cosmetics sales clerk","Registered drug seller, cosmetics salesperson, beauty staff"
"","","","","","","323-09","Gas station salesperson","Gas station serviceman, self-stand clerk"
"","","","","","","323-99","Retailer salesperson not classified elsewhere","Station yard sales clerk, furniture sales clerk, musical instrument sales clerk, eyeglass sales clerk, toy clerk, CD shop clerk, mobile phone sales clerk, old book clerk, bicycle sales clerk, jewelry product sales clerk, bookstore clerk, sports goods sales clerk , Used game software sales clerk, used jewelry product sales clerk, home center clerk, watch sales clerk, flower shop clerk, stationery sales clerk, pet shop clerk"
"","","","","324","Wholesale / product demonstration salesperson","324-01","Wholesale salesperson","Wholesale store sales clerk, fisheries middle clerk, fruit and vegetable middle clerk, textile wholesale clerk"
"","","","","","","324-02","Product demonstration salesperson","Product sales demonstration, demonstrator (demonstrator: sales clerk), fashion mannequin, mannequin sales clerk (demonstration sales)"
"","","","","325","Product visit / mobile salesperson","325-01","Product door-to-door salesperson","Home remedies staff, peddler, cosmetics door-to-door salesperson"
"","","","","","","325-02","Mobile salesperson","Movie theater seller, tofu caller, train salesperson"
"","","","","","","325-03","Street vendor","Food stall seller, street vendor"
"","","","","326","Recycled resource recovery / wholesaler","326-01","Recycled resource recovery / wholesaler","Recycled resource wholesaler, recycled resource collector (wholesale), recycled resource middleman, recycled product collector (wholesale)"
"","","","","327","Product purchasing salesperson","327-01","Product purchasing salesperson","Purchasing salesperson, purchasing clerk (mainly outside work), buyer"
"","","33","Sales-like occupation","331","Real estate agent / seller","331-01","Real estate agent / seller","Land and building mediator, land and building trader, real estate agent, real estate agent"
"","","","","332","Insurance agent, insurance broker","332-01","Insurance agent","Life insurance agency owner, insurance agency owner"
"","","","","","","332-02","Insurance broker","Insurance broker"
"","","","","333","Securities trading / broker, financial broker","333-01","Securities trading / broker","Securities company store clerk, securities sales representative (internal work)"
"","","","","","","333-02","Financial broker","Stock traders, forex dealers, bond traders"
"","","","","334","Pawn shop owner / clerk","334-01","Pawn shop owner / clerk","Pawnbroker, pawnshop clerk, pawnshop lender"
"","","","","339","Other sales-like occupations","339-01","Product broker","Wholesale market middleman, golf membership salesperson, broker (commodity brokerage business)"
"","","","","","","339-02","Lottery seller","Off-site voting ticket counter, lottery seller, refund counter (horse racing / bicycle race track, off-site counter), ticket agency clerk"
"","","","","","","339-03","Auctioneer","Wholesale market auctioneer"
"","","","","","","339-99","Sales-like occupations not classified elsewhere","Exchanger (pachinko prize exchange), gift certificate salesperson, ticket shop clerk, currency exchange clerk"
"","","34","Sales profession","341","Food and beverage sales salesperson","341-01","Food and beverage sales salesperson","Food and beverage sales staff, food and beverage route sales staff"
"","","","","342","Chemical sales staff (excluding pharmaceuticals)","342-01","Chemical sales staff (excluding pharmaceuticals)","Chemical sales staff, chemical route sales staff"
"","","","","343","Pharmaceutical salesperson","343-01","Pharmaceutical salesperson","Pharmaceutical information staff, sales staff (pharmaceutical wholesale business), MR"
"","","","","344","Machinery and equipment salesperson","344-01","Machinery and equipment salesperson","Machine parts sales staff, technical sales staff (general machinery), metal processing machine sales sales staff, construction machine manufacturing order sales staff, production machinery and equipment sales sales staff, sales engineers (general machinery), semiconductor manufacturing equipment sales sales staff"
"","","","","","","344-02","Electrical machinery and equipment salesperson","Medical electronic equipment sales salesperson, technical salesperson (electrical equipment), sales engineer (electrical equipment), electric measuring instrument sales salesperson, electronic application equipment manufacturing order salesperson, electronic equipment parts sales salesperson, electronic computer sales salesperson , Personal computer sales salesperson, Electric machinery and equipment manufacturing order salesperson, Consumer electric machinery and equipment salesperson"
"","","","","","","344-03","Car salesperson","Car salesperson"
"","","","","","","344-99","Machinery and equipment salesperson not classified elsewhere","Camera salesperson, optical equipment salesperson, ship manufacturing order salesperson, railroad vehicle manufacturing order salesperson, watch salesperson"
"","","","","345","Communication / information system salesperson","345-01","Communication salesperson","Communication line salesperson, communication equipment salesperson"
"","","","","","","345-02","Information system salesperson","System sales staff, system development sales staff"
"","","","","346","Finance / insurance salesperson","346-01","Bank liaison officer","Bank liaison officer, credit union affairs officer, credit union affairs officer"
"","","","","","","346-02","Securities salesperson","Securities Sales Representative (for outside work)"
"","","","","","","346-03","Insurance salesperson","Life insurance salesperson, non-life insurance salesperson, insurance salesperson"
"","","","","347","Real estate salesperson","347-01","Real estate salesperson","Housing / real estate company sales staff, home remodeling sales staff, residential land / building sales staff, land purchase sales staff"
"","","","","349","Other sales professions","349-01","Travel salesperson","Travel salesperson"
"","","","","","","349-02","Advertising salesperson","Account executive (advertising agency), advertising company sales staff"
"","","","","","","349-03","Manufacturing order salesperson","Printing salesperson, construction salesperson"
"","","","","","","349-04","Member recruiter","Ceremonial occasion member recruitment, golf course member recruitment, sports club member recruitment, resort club member recruitment, leisure club member recruitment"
"","","","","","","349-05","Newspaper extension worker","Newspaper sales expansion staff"
"","","","","","","349-99","Sales profession not classified elsewhere","Sales representative (commodity trading business), package software sales salesperson"
"E","Service profession","35","Occupation of family life support service","351","Housekeeper (husband), housework help","351-01","Housekeeper (husband), housework help","Help, care housekeeper, housekeeping agent"
"","","","","359","Occupations of other family life support services","359-01","babysitter","Child sitter, baby sitter, baby caretaker (individual home)"
"","","","","","","359-99","Occupations of family life support services not classified elsewhere","Washer (individual household), chef (individual household)"
"","","36","Facility caregiver","361","Facility caregiver","361-01","Facility caregiver","Care workers (medical facilities, welfare facilities for the elderly), long-term care service staff (health facilities for the elderly)"
"","","","","362","Home-visit care worker","362-01","Home-visit caregiver","Home caregiver, home care worker, home-visit care service worker, home helper"
"","","","","","","362-02","Visiting bathing assistant","Home bathing assistant, home bathing service staff, visiting bathing service staff, visiting bathing helper"
"","","37","Healthcare service profession","371","Nursing assistant","371-01","Nursing assistant","Nursing assistant, nursing helper, nursing assistant"
"","","","","372","Dental assistant","372-01","Dental assistant","Dental assistant, dental assistant"
"","","","","379","Other health care service occupations","379-01","Animal hospital assistant","Animal health technician, veterinary assistant, animal hygiene nurse, veterinary hospital assistant, veterinary hospital nursing assistant"
"","","","","","","379-99","Occupations of health care services not classified elsewhere","Optometry assistant, dispensing assistant, rehabilitation assistant"
"","","38","Life hygiene service occupation","381","Barber","381-01","Barber","Management barber, barber, barber"
"","","","","382","Hairdresser","382-01","Hairdresser","Hairdresser, management beautician, stylist (beautician), make-up artist"
"","","","","383","Beauty service job","383-01","Dresser","Costume dresser"
"","","","","","","383-02","Beautician","Facial surgeon"
"","","","","","","383-03","Manicurist","Nail artist, pedicure teacher, manicure teacher"
"","","","","","","383-99","Beauty service job not classified elsewhere","Wig hairdresser, Tokoyama, hair and makeup artist (not a hairdresser)"
"","","","","384","Bathhouse worker","384-01","Bathhouse worker","Hot spring bath workers, sauna managers (mainly engaged in bath business), public bath owners (mainly engaged in bath business), Bandai, health center bath workers, bath cleaners"
"","","","","385","Cleaning job","385-01","Cleaning worker","Wet towels Washers, cleaners, stain removers, washers, dry cleaners, linen supply workers (those engaged in washing)"
"","","","","","","385-02","Cleaning finisher","Ironing (cleaning), cleaning press, washing organizer, washing press, linen supply worker (working on washing finish)"
"","","","","389","Other life hygiene service occupations","389-01","Washing job","Washing work, hot water work"
"","","","","","","389-97","Barber / Hairdresser Assistant","Hairdresser assistant, hairdresser assistant, barber assistant, barber assistant"
"","","39","Food and drink cooking profession","391","Cook","391-01","Japanese cook","Itamae, udon chef, soba chef, tempura fried chef (restaurant), fugu chef, Japanese chef"
"","","","","","","391-02","Sushi craftsman","Sushi chef (conveyor belt sushi), Nigiri sushi chef (restaurant)"
"","","","","","","391-03","Western cook","Italian cook, cook, chef, pastry chef, French cook, Western cook"
"","","","","","","391-04","Chinese cook","Chinese cook, ramen cook"
"","","","","","","391-05","Lunch cook","In-flight meal maker, school lunch staff, school lunch center cook, employee cafeteria cook, cook (hospital)"
"","","","","","","391-97","Cooking assistant","Cooking assistant, cooking assistant"
"","","","","","","391-98","Cook apprentice","Sushi craftsman (apprentice), Western cook (apprentice), Chinese cook (apprentice), Japanese cook (apprentice)"
"","","","","","","391-99","Cooks not classified elsewhere","Izakaya cook, coffee shop cook, fishing boat cook, business trip cook, popular cafeteria cook, take-out lunch cook"
"","","","","392","bartender","392-01","bartender","Bartender, bartender apprentice"
"","","40","Customer service / waiter occupation","401","Restaurant owner / manager","401-01","Restaurant manager","Family restaurant manager (mainly engaged in customer service), restaurant manager (mainly engaged in customer service)"
"","","","","","","401-99","Restaurant owners and store managers who are not classified elsewhere","Izakaya manager (mainly engaged in customer service), hamburger store manager (mainly engaged in customer service)"
"","","","","402","Ryokan / Hotel Manager","402-01","Ryokan / Hotel Manager","The clerk (inn), the pension owner (mainly engaged in customer service), the hotel manager (mainly engaged in customer service), the inn manager (mainly engaged in customer service), the inn owner (Mainly engaged in customer service work)"
"","","","","403","Food and beverage waiter","403-01","Waitress","Waiter (banquet hall), waitress (banquet hall), distributor"
"","","","","","","403-02","Waiter waitress (restaurant hall clerk)","Waiter (restaurant), waitress (restaurant), floor clerk (restaurant), floor staff (restaurant), hall clerk (restaurant), hall staff (restaurant)"
"","","","","","","403-03","Sommelier","Sommelier"
"","","","","404","Ryokan / Hotel / Vehicle Customer Service","404-01","Ryokan / Hotel Front desk staff","Hotel front desk staff, reservation staff (hotel), reservation staff (inn), inn front desk staff"
"","","","","","","404-02","Ryokan / Hotel Waitress","Customer service staff (hotel), customer service staff (inn), doorman, bell person, bellboy bell girl, hotel information staff, hotel service staff, inn information staff, inn service staff"
"","","","","","","404-03","Ryokan / Hotel Chambermaid","Room clerk (hotel), room clerk (inn), Nakai, housekeeper (room clerk), bed make clerk, room clerk"
"","","","","","","404-04","Vehicle chambermaid","Cabin attendant, flight attendant, stewardess, steward, cabin clerk, ship passenger clerk, flight attendant"
"","","","","405","Hospitality social gathering, geisha, dancer","405-01","Hospitality social gathering","Companion (bar), companion (club), waiter (bar), waiter (club), hostess, host"
"","","","","","","405-02","Geisha, dancer","Geisha, floor dancer, maiko"
"","","","","406","Entertainment staff, etc.","406-01","Manager of entertainment venues, etc.","Movie theater manager (mainly engaged in customer service), arcade manager (mainly engaged in customer service), golf course manager (mainly engaged in customer service), pachinko parlor manager (mainly engaged in customer service) Mainly engaged in customer service work)"
"","","","","","","406-02","Waitress at entertainment venues, etc.","Information clerk (entertainment hall), counter clerk (entertainment hall), prize exchange clerk (pachinko shop), entertainment hall exit / ticket gate, entertainment hall broadcasting clerk, seat information clerk (entertainment hall), customer service clerk (entertainment hall), entrance Ticket sales clerk (entertainment hall), front desk clerk (entertainment hall)"
"","","","","","","406-03","Amusement facility, etc.","Attraction clerk (play facility), rental play equipment clerk, game center machine clerk, vehicle driver operator (amusement park), hall clerk (pachinko shop), amusement park facility clerk, game machine clerk, play facility clerk, game equipment clerk, play equipment operator"
"","","","","","","406-04","Sports facility clerk","Caddy master, golf course staff, golf course front desk staff, sports club staff, sports clubhouse staff, sports center staff, sports equipment rental staff, tennis field staff, fitness club staff, front desk staff (golf course)"
"","","","","","","406-05","Caddy","House caddy"
"","","","","409","Other customer service / waiter occupations","409-99","Other customer service / waiter occupations","Usher (department store), waiter (department store)"
"","","41","Occupation of management of residential facilities, buildings, etc.","411","Condominium / apartment / boarding house manager","411-01","Condominium / apartment / boarding house manager","Apartment manager, boarding house manager, housing facility manager, residence manager (apartment), front desk clerk (apartment), apartment manager"
"","","","","412","Dormitory / dormitory manager","412-01","Dormitory / dormitory manager","Training camp manager, dormitory manager, dormitory caretaker, dormitory manager, company housing manager, resident manager (dormitory / dormitory), household dormitory manager, single dormitory manager, dormitory manager"
"","","","","413","Building manager","413-01","Building manager","Building manager"
"","","","","414","Parking lot / bicycle parking lot manager","414-01","Parking lot / bicycle parking lot manager","Parking lot clerk, parking lot manager, parking lot guide, bicycle parking lot manager, parking meter manager"
"","","","","419","Occupation of management of other residential facilities / buildings, etc.","419-01","Villa manager","Rental villa manager"
"","","","","","","419-99","Occupations of management of residential facilities, buildings, etc. that are not classified elsewhere","Public hall manager, sports stadium manager, gymnasium manager, daycare manager"
"","","42","Occupations of other services","421","Tour conductor, tourist guide","421-01","Tour conductor","Tour escorts, tour conductors, tour guides"
"","","","","","","421-02","Tourist guide","Alpine guide, tourist interpreter guide, interpreter guide, interpreter guide, mountain climbing guide, travel guide, famous place / historic site guide, travel / tourist guide, travel / tourist guide"
"","","","","422","Temporary store of goods","422-01","Temporary store of goods","Floorwalker, coin locker manager, temporary baggage depositor"
"","","","","423","Goods lessor","423-01","Goods lessor","Costume rental person, bicycle renter, rental shop clerk, rental car sales office clerk"
"","","","","424","Advertiser","424-01","Advertiser","Campaign advertiser, commercial model, event companion, showroom member, fashion model"
"","","","","","","424-02","Flyer distributor","Villa distributor, posting person"
"","","","","425","Funeral director, cremation clerk","425-01","Funeral director","Funeral Ceremony Preparer, Funeral Clerk, Funeral Decorator, Funeral Director, Yukanshi"
"","","","","","","425-02","Cremation clerk","Cremation worker, crematorium worker"
"","","","","426","Trimmer","426-01","Trimmer","Groomer"
"","","","","429","Occupations of services not classified elsewhere","429-01","Porter","Hand-carrying carrier"
"","","","","","","429-02","After-school care instructor","After-school care instructor"
"","","","","","","429-03","Chiropractic, aromatherapy, etc. workers","Aroma therapist, chiropractor, chiropractor, thalasso therapist, reflexologist"
"","","","","","","429-99","Occupations of other services not classified elsewhere","Easy person, elevator clerk, assistant (wedding hall), family nursery teacher, prayer, shoe polisher, wedding hall moderator, marriage counselor, coin laundry manager, vocational introduction attendant (private employment introduction), bedding disinfecting and drying People, life counselors, art models, pet sitters, handymen, childcare assistants, childcare moms, shrine maidens, wild dog catchers, travel guides (travel and tourist information centers), cemetery managers"
"F","Security profession","43","Self-defense official","431","Self-defense official","431-01","Self-defense official","Ground Self-Defense Force, Ground Self-Defense Force member, Maritime Self-Defense Force, Maritime Self-Defense Force member, Air Self-Defense Force member, Air Self-Defense Force member, National Defense Academy student, National Defense Medical College student"
"","","44","Judicial police officer","441","Police officer","441-01","Police officer","Detectives, airport police officers, royal escorts, water police members, railroad police members"
"","","","","442","Coast Guard Officer","442-01","Coast Guard Officer","Patrol boat crew, patrol boat crew"
"","","","","449","Other judicial police officers","449-01","Other judicial police officers","Fishery inspector, hunting patrol special judicial police officer, drug control officer"
"","","45","Other security professions","451","Jailer","451-01","Jailer","Prison officer (excluding managers)"
"","","","","452","Firefighter","452-01","Firefighter","Emergency life-saving personnel (firefighters), emergency personnel, airport firefighters, private firefighters, firefighters, firefighters, firefighters, rescue personnel"
"","","","","453","Security guard","453-01","Facility guard","Station guards, guard women, guards, mechanical guards, airport guards, penal institution guards, guards, warehouse guards, parking guards, building guards, night guards"
"","","","","","","453-99","Security guards not classified elsewhere","Machinery guards, valuables transport guards, cash transporters, parliamentary guards, personal guards, court guards, bodyguards"
"","","","","459","Security profession not classified elsewhere","459-01","Road manager","Traffic patrol, road supervisor, road patrol member"
"","","","","","","459-02","Road traffic guide","Construction site traffic guide, traffic guide, road construction site traffic guide"
"","","","","","","459-03","Crowd control","Event guards, venue maintainers, event guards"
"","","","","","","459-04","Pool / beach guard","Beach guards, swimmers, pool guards, lifeguards"
"","","","","","","459-99","Other security professions not classified elsewhere","Nature protection officer (ranger), crossing guard, parking guard, immigration guard, train guard (track maintenance work)"
"G","Agriculture, forestry and fishery occupation","46","Agricultural occupation","461","Agricultural worker","461-01","Rice and upland farming workers","Potato cultivation worker, millet cultivation worker, paddy rice cultivation worker, bean cultivation worker, vegetable cultivation worker"
"","","","","","","461-02","Horticultural and industrial crop cultivation workers","Rush grower, plant grower, flower grower, fruit grower, lawn grower, tobacco grower, tea grower"
"","","","","","","461-03","Mushroom cultivation worker","Enoki mushroom cultivation worker, mushroom manufacturing worker (factory production), shiitake mushroom cultivation worker, maitake mushroom cultivation worker, mushroom cultivation worker"
"","","","","","","461-04","House vegetable grower","Greenhouse vegetable cultivation worker, vegetable cultivation worker (house cultivation)"
"","","","","","","461-99","Agricultural workers not classified elsewhere","Shiitake seed piece manufacturing worker, seedling grower (agriculture), botanical garden cultivation staff, farm manager, farming tractor driver, spear manufacturing worker (factory production)"
"","","","","462","Livestock worker","462-01","Beef and dairy cow breeding workers","Milking workers, beef cattle breeding workers, dairy cow breeding workers, dairy workers, dairy helpers"
"","","","","","","462-02","Pig farmer","Pig house workers, pig breeding management workers, pig farm workers"
"","","","","","","462-03","Poultry worker","Poultry house worker, egg collection worker (poultry farm), chicken breeding management worker, broiler breeding worker"
"","","","","","","462-04","Animal keeper","Animal breeding worker for love cancer, animal caretaker for research, laboratory animal breeding staff, zoo breeding staff"
"","","","","","","462-05","Staff","Racehorse breeding worker, breeding horse breeding worker"
"","","","","","","462-06","Sericulture worker","Silkworm keeper, silkworm seed production worker, cocoon worker"
"","","","","","","462-99","Livestock workers not classified elsewhere","Animal breeding workers, breeders, ranch workers, beekeepers"
"","","","","463","Planter, landscaper","463-01","Planter","Gardener, gardener"
"","","","","","","463-02","Landscaping","Golf course turf planting worker, turf planting worker (landscaping industry), landscaping technician, landscaping worker, gardener"
"","","","","","","463-98","Apprentice planter, apprentice landscaping","Planter (apprentice), landscaper (apprentice)"
"","","","","469","Other agricultural professions","469-01","Other agricultural professions","Aqueduct, agricultural water manager, pesticide sprayer"
"","","47","Forestry profession","471","Forestry worker","471-01","Ground preparation and tree planting workers","Forest sapling planting worker, forestry area preparation worker"
"","","","","","","471-02","Weeding and pruning workers","Forest pruning worker, forest weeding worker, clearing worker"
"","","","","","","471-99","Forestry workers not classified elsewhere","Forest tree measurement worker, snow maker worker"
"","","","","472","Logging / sawing / collecting workers","472-01","Logging / sawing / collecting workers","Luck workers, logging workers, logging workers, lumbering workers, logging workers"
"","","","","479","Other forestry professions","479-01","Wild plants, urushi, etc. collection workers","Lacquer collection worker, mushroom collection worker, special forest product collection worker, matsutake collection worker, bracken collection worker"
"","","","","","","479-02","Forest guard","Forest manager, forest security staff, forest patrol worker"
"","","","","","","479-03","Charcoal and firewood workers","Charcoal-burning worker, wood-splitting worker"
"","","","","","","479-99","Forestry profession not classified elsewhere","Forest seedling cultivation worker, forest pest control worker, seedling cultivation worker (forestry), hunter, bird and beast guardian, animal capture worker"
"","","48","Fisher worker","481","Fisher worker","481-01","Sea surface fishermen","Coastal fishermen, seine netting workers, diving fishermen, set net fishermen"
"","","","","","","481-02","Fishing boat deck member","Squid fishing fisherman, fishing boat crew, fishing boat engineer, fishing boat steerer, chief fisherman, stab fisherman, sill net fisherman, bottoming net fisherman, haenawa fisherman, purse seine fisherman"
"","","","","","","481-03","Inland fishery workers","Ayu fisherman, Utsukushi, eel fisherman, river fisherman, cast net fisherman, inland fisherman"
"","","","","482","Captain, navigator, chief engineer, engineer of a fishing boat","482-01","Captain, navigator, chief engineer, engineer of a fishing boat","Fisherman ship engineer, fisherman ship chief engineer, fisherman ship navigator, fisherman ship captain"
"","","","","483","Seaweed / shellfish collection worker","483-01","Seaweed / shellfish collection worker","Sea urchin collection worker, kelp collection worker, clam collection worker, fishery ama (ama / ama), glue collection worker"
"","","","","484","Aquaculture workers","484-01","Fish farming worker","Eel farming workers, goldfish farming workers, carp farming workers, aquaculture workers, hamachi farming workers, blowfish farming workers"
"","","","","","","484-02","Shellfish farming workers","Oyster farming workers, freshwater clam farming workers, scallop farming workers"
"","","","","","","484-03","Pearl farming worker","Pearl raft manager, pearl core worker, pearl ball worker, cultured pearl shell cleaning worker"
"","","","","","","484-04","Nori, wakame seaweed, etc. aquaculture workers","Kelp farming worker, seaweed farming worker, wakame seaweed farming worker"
"","","","","","","484-99","Aquaculture workers not classified elsewhere","Nereid aquaculture worker, fishery laboratory breeding worker, aquarium breeding worker, soft-shelled turtle aquaculture worker"
"","","","","489","Other fishing professions","489-99","Other fishing professions","Fishing ground guards, fish landing workers, fishing bait collection workers"
"H","Production process occupation","49","Occupation of production equipment control / monitoring (metal material manufacturing, metal processing, metal welding / fusing)","491","Ironmaking / Steelmaking / Nonferrous Metal Smelting Equipment Control / Observer","491-01","Ironmaking / steelmaking equipment control / monitoring staff","Iron melting equipment operator for castings, blast furnace operator, steelmaking equipment operator, ironmaking equipment operator, ingot making equipment operator, ironmaking machine operator, electric furnace operator (steelmaking), converter operator (steelmaking), smelting furnace operator, continuous Casting machine operator (steelmaking)"
"","","","","","","491-02","Non-ferrous metal smelting equipment control / monitoring staff","Aluminum melting equipment operator for castings, polycrystalline silicon refining equipment operator, non-ferrous metal leachation / purification equipment operator, non-ferrous metal electrolysis equipment operator, non-ferrous metal melting equipment operator, continuous casting machine operator (non-ferrous metal)"
"","","","","492","Casting / forging equipment control / observer","492-01","Casting equipment control / monitoring staff","Casting equipment operator, molding machine operator, die casting equipment operator"
"","","","","","","492-02","Forging equipment control / monitoring staff","Forging heating equipment operator, forging equipment operator, forging press equipment operator, spring manufacturing equipment operator (by hot forming)"
"","","","","493","Metal work equipment control / observer","493-01","Metal work equipment control / observer","Metal work equipment operator"
"","","","","494","Metal press equipment control / monitoring staff","494-01","Metal press equipment control / monitoring staff","Metal press equipment operator"
"","","","","495","Ironworker / can manufacturing equipment control / observer","495-01","Ironworker / can manufacturing equipment control / observer","Pressure vessel manufacturing equipment operator, steel frame manufacturing equipment operator, boiler manufacturing equipment operator"
"","","","","496","Sheet metal equipment control / monitoring staff","496-01","Sheet metal equipment control / monitoring staff","Can making equipment operator (cans for canning and beverages), sheet metal equipment operator, curved roll machine operator (sheet metal)"
"","","","","497","Plating / metal polishing equipment control / monitoring staff","497-01","Plating equipment control / monitoring staff","Plating equipment operator"
"","","","","","","497-02","Metal polishing equipment control / monitoring staff","Metal polishing equipment operator"
"","","","","498","Metal welding / fusing equipment control / monitoring","498-01","Metal welding / fusing equipment control / monitoring","Gas cutting equipment operator, metal welding equipment operator, metal fusing equipment operator, welding robot operator, laser cutting equipment operator"
"","","","","499","Other production equipment control / monitoring occupations (metal material manufacturing, metal processing, metal welding / fusing)","499-01","Metal heat treatment equipment control / monitoring","Metal heat treatment equipment operator"
"","","","","","","499-02","Rolling equipment control / monitoring staff","Rolling heating equipment operator, rolling equipment operator, welded steel pipe manufacturing equipment operator, strip steel rolling equipment operator, hot rolling equipment operator, cold rolling equipment operator"
"","","","","","","499-03","Wire drawing equipment control / monitoring staff","Wire drawing equipment operator"
"","","","","","","499-04","Metal cutting equipment control / monitoring staff (by blade)","Metal cutting equipment operator, shirring equipment operator"
"","","","","","","499-99","Occupations of control and monitoring of production equipment not classified elsewhere (metal material manufacturing, metal processing, metal welding / fusing)","Metal wire product manufacturing equipment operator, metal roasting equipment operator, nail manufacturing equipment operator, spring manufacturing equipment operator (by cold forming), soldering equipment operator, powder ore sintering equipment operator, powder metallurgy product manufacturing equipment operator, wax Equipment operator"
"","","50","Occupation of production equipment control / monitoring (excluding metal material manufacturing, metal processing, metal welding / fusing)","501","Chemical product production equipment control / monitoring staff","501-01","Oil refinery control / monitoring staff","Lubricating oil manufacturing equipment operator, oil refining equipment operator, oil tank operator, fuel manufacturing equipment operator"
"","","","","","","501-02","Basic chemical product manufacturing equipment control / monitoring staff","Chemical fiber raw material manufacturing equipment operator, chemical fertilizer manufacturing equipment operator, chemical chemical manufacturing equipment operator, petrochemical product manufacturing equipment operator, general-purpose resin manufacturing equipment operator, inorganic material manufacturing equipment operator, organic chemical manufacturing equipment operator"
"","","","","","","501-03","Chemical fiber manufacturing equipment control / monitoring staff","Chemical fiber aftertreatment equipment operator, chemical fiber stock solution adjustment equipment operator, chemical fiber scouring equipment operator, chemical fiber bleaching equipment operator, chemical fiber spinning equipment operator"
"","","","","","","501-04","Pharmaceutical / cosmetics manufacturing equipment control / monitoring staff","Pharmaceutical manufacturing equipment operator, cosmetics manufacturing equipment operator"
