"Small","Name(Small)"
"5441","Class 1 Cutting Tool Grinding Technician"
"5442","Class 2 Cutting Tool Grinding Technician"
"5443","Special Die Casting Technician"
"5444","1st Class Die Casting Technician"
"5445","Class 2 Die Casting Technician"
"5499","Other qualifications related to metalworking"
"5501","Special Boiler Welder"
"5502","Ordinary Boiler - Welder"
"5503","Chief Gas Welder"
"5504","Level 1 Welding Management Engineer"
"5505","Level 2 Welding Management Engineer"
"5506","welding instructor"
"5507","welding engineer"
"5510","Gas Pressure Weld Skills Test Class 1"
"5511","Gas Pressure Weld Skills Test Class 2"
"5512","Gas Pressure Weld Skills Test Class 3"
"5513","Gas Pressure Weld Skills Test Class 4"
"5514","Gas welding engineer"
"5515","Arc welding technician (Specialty Class)"
"5516","Arc welding technician (basic level)"
"5517","Stainless Steel Welding Technician (Specialist Grade)"
"5518","Stainless steel welding technician (basic level)"
"5519","Aluminum Welding Technician (Specialist Grade)"
"5520","Aluminum welding technician (basic level)"
"5599","Other qualifications related to metal welding and fusing"
"5601","Specialized machine maintenance technician"
"5602","1st class machine maintenance technician"
"5603","2nd class machine maintenance technician"
"5604","Special Grade Mechanical Inspection Technician"
"5605","1st class machine inspection technician"
"5606","Class 2 Mechanical Inspection Technician"
"5607","Class 3 Mechanical Inspection Technician"
"5608","Special Class Internal Combustion Engine Assembler"
"5609","1st class internal combustion engine assembler"
"5610","2nd Class Internal Combustion Engine Assembly Technician"
"5611","Class 3 Internal Combustion Engine Assembler"
"5612","Special Class Pneumatic Assembly Technician"
"5613","Class 1 Pneumatic Assembly Technician"
"5614","Class 2 Pneumatic Assembly Technician"
"5615","Special Grade Hydraulic System Adjustment Engineer"
"5616","Class 1 Hydraulic System Adjustment Engineer"
"5617","Class 2 hydraulic system adjustment engineer"
"5618","1st class sewing machine maintenance technician"
"5619","2nd Class Sewing Machine Maintenance Technician"
"5620","Maintenance technician for specialized construction machinery"
"5621","1st Class Construction Equipment Maintenance Technician"
"5622","2nd Class Construction Equipment Maintenance Technician"
"5623","1st Class Agricultural Machinery Maintenance Technician"
"5624","2nd Class Agricultural Machinery Maintenance Technician"
"5699","Other qualifications related to assembly and repair of machinery and equipment"
"5701","Specially Qualified Electric Equipment Assembler"
"5702","Class 1 electric assembly technician"
"5703","Class 2 electrical assembly technician"
"5704","Specially Qualified Electronic Equipment Assembler"
"5705","Class 1 Electronic Equipment Assembly Skills"
"5706","Class 2 Electronic Equipment Assembly Skills"
"5707","Class 3 Electronic Equipment Assembly Skills"
"5712","Vending machine adjustment specialist"
"5713","Class 1 Vending Machine Coordinator"
"5714","Grade 2 Vending Machine Coordinator"
"5715","Specialist in manufacturing semiconductor products"
"5716","Class 1 semiconductor product manufacturing engineer"
"5717","Class 2 semiconductor product manufacturing engineer"
"5718","electronic circuitry technician"
"5719","Specialist in manufacturing printed wiring boards"
"5720","Class 1 printed wiring board manufacturer"
"5721","Class 2 printed wiring board manufacturer"
"5722","Class 3 printed wiring board manufacturer"
"5727","Home appliance engineer (home appliances)"
"5728","Home appliance engineer (AV information appliances)"
"5799","Other qualifications related to electrical and electronic equipment assembly"
"5801","automobile tire mechanic"
"5802","Automobile Electric Equipment Mechanic"
"5803","auto body mechanic"
"5804","first class aircraft mechanic"
"5805","second class aircraft mechanic"
"5807","Aircraft factory mechanic"
"5808","Class 1 Industrial Vehicle Maintenance Technician"
"5809","Class 2 Industrial Vehicle Maintenance Technician"
"5810","1st Class Railcar Manufacturing and Maintenance Technician"
"5811","Class 2 Railcar Manufacturing and Maintenance Technician"
"5812","Bicycle Safety Mechanic"
"5813","Second Class Gasoline Vehicle Mechanic"
"5814","Second Class Jezebel Auto Mechanic"
"5815","Class 3 automotive gasoline and engine mechanic"
"5816","Class 3 Automotive Giesel Engine Mechanic"
"5817","Class 3 chassis mechanic"
"5818","second class auto mechanic"
"5819","3rd class auto mechanic"
"5820","Auto mechanic (motorcycle)"
"5821","Bicycle Technician (formerly Bicycle Assembly Mechanic)"
"5822","automobile mechanic"
"5823","maintenance manager"
"5824","First Class Large Vehicle Mechanic"
"5825","First-class small car mechanic"
"5899","Other qualifications related to assembly, repair and inspection of transportation equipment"
"5901","First Class Watch Repair Technician"
"5902","Class 2 Watch Repair Technician"
"5903","Class 3 Watch Repair Technician"
"5904","general accountant"
"5905","environmental measurer"
"5906","Specially Qualified Optical Instrument Technician"
"5907","Class 1 optical instrument manufacturer"
"5908","Class 2 optical instrument manufacturer"
"5999","Other qualifications related to assembly, repair and inspection of instruments and optical equipment"
"6001","Specially Qualified Baker"
"6002","1st Class Bakery Technician"
"6003","2nd Class Bakery Technician"
"6004","confectioner's hygienist"
"6005","1st Class Confectionery Technician"
"6006","2nd Class Confectionery Technician"
"6007","noodle maker"
"6008","1st class ham, sausage and bacon manufacturer"
"6009","2nd class ham, sausage and bacon manufacturer"
"6010","1st Class Fishery Products Manufacturing Technician"
"6011","2nd Class Fishery Products Manufacturing Technician"
"6012","1st Class Miso Maker"
"6013","2nd Class Miso Maker"
"6014","1st Class Sake Brewer"
"6015","2nd Class Sake Brewer"
"6099","Other food manufacturing qualifications"
"6101","1st Class Dyeing Technician"
"6102","Grade 2 Dyeing Technician"
"6103","1st class knitwear manufacturer"
"6104","2nd Class Knitwear Manufacturing Technician"
"6105","Specially Qualified Woman and Children's Clothing Technician"
"6106","1st class women's and children's clothing manufacturer"
"6107","2nd Class Women's and Children's Clothing Manufacturing Technician"
"6108","Specially Qualified Menswear Technician"
"6109","1st Class Men's Clothing Technician"
"6110","2nd Class Men's Clothing Technician"
"6111","1st Class Japanese Sewing Technician"
"6112","Level 2 Japanese Sewing Technician"
"6113","Level 3 Japanese Sewing Technician"
"6114","1st Class Cloth and White Sewing Technician"
"6115","Grade 2 Cloth and White Sewing Technician"
"6116","1st class bedding manufacturer"
"6117","Class 2 Bedding Maker"
"6118","Class 1 Canvas Production Technician"
"6119","Level 2 Canvas Production Technician"
"6120","pattern-making technique test"
"6199","Other qualifications related to weaving, dyeing and sewing"
"6201","Chief of Woodworking Machinery"
"6202","Class 1 Mechanical Woodworking Technician"
"6203","Class 2 Mechanical Woodworking Technician"
"6206","First Class Furniture Maker"
"6207","Class 2 Furniture Maker"
"6208","Class 1 joinery technician"
"6209","Class 2 joinery technician"
"6212","Class 1 paper container and cardboard box manufacturer"
"6213","Grade 2 paper container and cardboard box manufacturer"
"6214","1st class tatami maker"
"6215","Grade 2 tatami maker"
"6299","Other qualifications related to wood and paper product manufacturing"
"6301","Class 1 Prepress Technician (formerly known as a platemaking technician)"
"6302","Prepress Technician Level 2 (formerly known as a platemaking technician)"
"6303","1st class printing engineer"
"6304","Class 2 Printing Technician"
"6305","1st class bookbinding technician"
"6306","2nd class bookbinding technician"
"6307","DTP Expert"
"6399","Other qualifications related to printing and bookbinding"
"6401","Specially Qualified Plastic Molding Technician"
"6402","1st class plastic molding engineer"
"6403","2nd class plastic molding engineer"
"6404","Class 3 plastic molding engineer"
"6405","Class 1 reinforced plastic molding engineer"
"6406","Class 2 reinforced plastic molding engineer"
"6499","Other qualifications related to plastic product manufacturing"
"6503","Class 1 Precious Metal Trinket Maker"
"6504","Class 2 Precious Metal Trinket Maker"
"6507","First-class seal engraver"
"6508","2nd class seal engraver"
"6509","Class 1 Prosthetic Limb and Orthotic Manufacturing Technician"
"6510","Level 2 Prosthetic Limb and Orthotic Manufacturing Technician"
"6511","traditional craftsman"
"6599","Other qualifications related to the manufacture of personal effects such as trinkets"
"6601","1st class surface decoration technician"
"6602","Grade 2 Painting Technician"
"6603","1st class paint technician"
"6604","Level 2 Painting Technician"
"6605","Paint mixing technician"
"6606","Class 1 Advertising Art Finishing Technician"
"6607","Level 2 Advertising Art Finishing Technician"
"6608","Grade 3 Advertising Art Finishing Technician"
"6609","1st class photography technician"
"6610","Level 2 Photography Technician"
"6611","Class 3 Photography Technician"
"6612","CAD application engineer level 1"
"6613","CAD application engineer level 2"
"6617","Tracing Skills Test Level 1"
"6618","Tracing Skills Test Level 2"
"6619","Tracing Skills Test Level 3"
"6620","Tracing Skills Test Level 4"
"6621","Lettering Skills Test Level 1"
"6622","Lettering Skills Test Level 2"
"6623","Lettering Skills Test Level 3"
"6624","Lettering Skills Test Level 4"
"6625","Level 1 Technical Illustration Technician"
"6626","Level 2 Technical Illustration Technician"
"6627","Level 3 Technical Illustration Technician"
"6630","Class 1 Mechanical and Plant Draftsman"
"6631","Class 2 Mechanical and Plant Draftsman"
"6632","1st class electric drawing engineer"
"6633","Level 2 Electrical Draftsman"
"6634","Grade 3 Electrical Draftsman"
"6635","1st Class Industrial Packaging Technician"
"6636","Class 2 Industrial Packaging Technician"
"6637","anti-corrosion control officer"
"6699","Other manufacturing and production-related qualifications"
"6701","Senior Boiler Engineer"
"6702","Class 1 Boiler Engineer"
"6703","Level 2 Boiler Engineer"
"6704","Boiler Mechanic"
"6705","Chief Boiler Operator"
"6706","Chief engineer in charge of handling ordinary Class 1 pressure containers"
"6707","Chief Operation Officer of Drying Facilities"
"6708","Crane Derrick driver (crane only)"
"6709","Mobile crane operator"
"6710","Small mobile crane operator"
"6711","Floor Operated Crane Operator"
"6713","freight equipment operator"
"6714","Operator of vehicle-based construction equipment (for basic construction)"
"6715","Operator of construction equipment (for leveling, hauling, loading and excavation)"
"6716","Technician to operate vehicle-based construction equipment (for demolition)"
"6717","Shovel Loader Operator"
"6718","person skilled in the art of moonlighting"
"6719","Crane Derrick driver (not limited)"
"6720","Floor Operated Crane Limited Operator"
"6799","Other qualifications related to the operation of stationary and construction equipment"
"6801","Construction Manager AI Type 1"
"6802","Construction Manager AI Type 2"
"6803","Construction Manager AI Type 3"
"6804","Construction Manager DD Class 1"
"6805","Construction Manager DD Type 2"
"6806","Construction Manager DD Class 3"
"6807","Construction Manager AI/DD Comprehensive Type"
"6808","Class 1 Electrician"
"6809","Class 2 Electrician"
"6810","CATV technician"
"6811","Power distribution system inspector (Level 1 to 2)"
"6812","1st class information wiring installation technician"
"6813","Class 2 Information Wiring Installation Technician"
"6814","Class 3 Information Wiring Installation Technician"
"6899","Other qualifications related to electrical work"
"6901","Chief excavator for quarrying"
"6902","Quarry Operations Manager"
"6903","chief gravel collector"
"6904","Chief of Excavation and Earth-moving Support Operations"
"6905","Chief of Excavation and Earth-moving Support Operations"
"6906","chief engineer for excavation of a waterway, etc."
"6907","Chief engineer in charge of covering up roads, etc."
"6908","1st class drilling well technician"
"6909","Level 2 drilling well technician"
"6999","Other mining and mining-related qualifications"
"7001","1st Class Carpentry Technician"
"7002","2nd Class Carpentry Technician"
"7003","Chief of assembling wooden buildings"
"7004","framed-wall construction engineer"
"7005","1st class tile-roofing technician"
"7006","Level 2 Straw mats"
"7007","Class 1 Skydiving Technician"
"7008","Level 2 Skydiving Technician"
"7009","Class 3 Skydiving Technician"
"7010","Class 1 Plasterer"
"7011","Level 2 Plasterer"
"7013","Class 1 Furnace Technician"
"7014","Class 2 Furnace Technician"
"7015","Class 1 Block Construction Technician"
"7016","Level 2 Block Construction Technician"
"7017","ALC Panel Installation Technician"
"7018","Class 1 Tiling Technician"
"7019","Level 2 Tiling Technician"
"7020","Class 1 Formwork Technician"
"7021","Grade 2 Formwork Technician"
"7022","Chief of Formwork Support Worker Assembly"
"7023","1st class rebar construction technician"
"7024","Class 2 steel construction technician"
"7025","Chief engineer of steel frame assembly of buildings, etc."
"7026","Chief engineer of scaffolding assembly, etc."
"7029","Chief engineer of demolition of concrete structures"
"7030","chief engineer for concrete bridge erection and other operations"
"7031","Chief engineer of steel bridge erection work"
"7032","foundation contractor"
"7033","Press-in installation engineer (Level 1 to 2)"
"7034","demolition workmanship technician"
"7099","Other construction-related qualifications"
"7102","Society of Heating, Air-Conditioning and Sanitary Engineers, Equipment Engineer"
"7103","Class 1 Refrigeration and Air Conditioning Equipment Installation Technician"
"7104","Class 2 Refrigeration and Air Conditioning Equipment Installation Technician"
"7105","Class 1 Refrigeration and Air Conditioning Engineer"
"7106","Class 2 Refrigeration and Air Conditioning Engineer"
"7107","1st Class Plumbing Technician"
"7108","2nd Class Plumbing Technician"
"7109","3rd class plumbing technician"
"7110","Class 1 Plumbing Construction Management Engineer"
"7111","Level 2 Plumbing Construction Management Engineer"
"7113","Class 1 kitchen equipment installation technician"
"7114","2nd Class Kitchen Equipment Technician"
"7115","1st class interior finish workmanship technician"
"7116","2nd Class Interior Finishing Worker"
"7117","3rd class interior finishing work technician"
"7118","1st class heat insulation installation technician"
"7119","Class 2 heat insulation installation technician"
"7120","First Class Curtain Wall Installation Technician"
"7121","Grade 2 Curtain Wall Installation Technician"
"7122","Class 1 Sash Construction Technician"
"7123","Class 2 Sash Construction Technician"
"7124","Class 1 Automatic Door Installation Technician"
"7125","Class 2 Automatic Door Installation Technician"
"7126","Balcony Construction Technician"
"7127","Class 1 glass film installation technician"
"7128","Grade 2 glass film installation technician"
"7129","Liquefied petroleum gas (LPG) equipment engineer"
"7130","septic tank equipment engineer"
"7199","Other qualifications related to facilities and interior work"
"7201","1st class waterproofing construction technician"
"7202","Level 2 waterproofing construction technician"
"7203","Technician for injection of resin adhesive"
"7204","diver"
"7205","Chief High Pressure Indoor Worker"
"7206","oxygen-deficient hazardous operations manager"
"7207","Chief of Hazardous Operations for Oxygen Depletion and Hydrogen Sulfide"
"7208","asbestos operations manager"
"7299","Other building work-related qualifications"
"7302","1st class concrete pumping workmanship"
"7303","Class 2 concrete pumping workmanship"
"7304","chief engineer of a concrete crusher"
"7305","Class 1 well point construction technician"
"7306","Level 2 Well Point Construction Technician"
"7307","Road Surface Marking Technician"
"7308","forestry overhead line operator"
"7309","Concrete Engineer and Chief Concrete Engineer"
"7399","Other qualifications related to civil engineering, paving and railroad track work"
"7401","bulk loading safety manager"
"7402","Onboard Cargo Operations Manager"
"7403","building cleaning technician"
"7404","industrial cleaning technician"
"7405","septic tank manager"
"7406","Septic Tank Technical Manager"
"7407","Septic Tank Cleaning Technician"
"7408","House cleaning technician"
"7499","Other transportation, labor, and other related qualifications"
"8001","MBA (Master of Business Administration)"
"8002","CISA (Certified Information Systems Auditor)"
"8005","CPA (Certified Public Accountant)"
"8006","EA (American Tax Accountant)"
"8007","CFA (Financial Analyst)"
"8008","CMA (Certified Management Accountant)"
"8099","Other Overseas Qualifications"
"9901","Certificate for Students Achieving the Proficiency Level of Upper Secondary School Graduates"
"9999","Other Licensure Qualifications"
